id,name,size,created_datetime,modified_datetime,created_by,modified_by,web_url,mime_type,is_folder,parent_path,site_id,library_id,library_name,ingestion_timestamp
01ABCDEF123456789,Quarterly_Report_Q1_2024.docx,1048576,2024-01-15T10:30:00Z,2024-03-22T14:45:30Z,John Smith,Jane Doe,https://contoso.sharepoint.com/sites/ProjectAlpha/Shared%20Documents/Quarterly_Report_Q1_2024.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,false,/drive/root:/Shared Documents,site-12345,drive-67890,Documents,2024-03-25T08:00:00Z
02GHIJKL234567890,Budget_Analysis_2024.xlsx,524288,2024-02-01T09:15:00Z,2024-03-20T16:20:15Z,Alice Williams,Bob Johnson,https://contoso.sharepoint.com/sites/ProjectAlpha/Shared%20Documents/Budget_Analysis_2024.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,false,/drive/root:/Shared Documents,site-12345,drive-67890,Documents,2024-03-25T08:00:00Z
03MNOPQR345678901,Project_Presentation.pptx,3145728,2024-01-20T11:00:00Z,2024-03-15T10:30:45Z,Charlie Brown,Alice Williams,https://contoso.sharepoint.com/sites/ProjectAlpha/Shared%20Documents/Project_Presentation.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,false,/drive/root:/Shared Documents,site-12345,drive-67890,Documents,2024-03-25T08:00:00Z
04STUVWX456789012,Meeting_Notes_March.txt,8192,2024-03-01T14:30:00Z,2024-03-22T09:45:00Z,Jane Doe,Jane Doe,https://contoso.sharepoint.com/sites/ProjectAlpha/Shared%20Documents/Meeting_Notes_March.txt,text/plain,false,/drive/root:/Shared Documents,site-12345,drive-67890,Documents,2024-03-25T08:00:00Z
05YZABCD567890123,Technical_Specifications.pdf,2097152,2024-01-10T08:00:00Z,2024-02-28T15:10:20Z,Bob Johnson,Charlie Brown,https://contoso.sharepoint.com/sites/ProjectAlpha/Shared%20Documents/Technical_Specifications.pdf,application/pdf,false,/drive/root:/Shared Documents,site-12345,drive-67890,Documents,2024-03-25T08:00:00Z
06EFGHIJ678901234,Marketing_Strategy_2024.docx,786432,2024-02-15T10:45:00Z,2024-03-18T11:30:00Z,Alice Williams,John Smith,https://contoso.sharepoint.com/sites/ProjectAlpha/Shared%20Documents/Marketing_Strategy_2024.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,false,/drive/root:/Shared Documents,site-12345,drive-67890,Documents,2024-03-25T08:00:00Z
07KLMNOP789012345,Sales_Data_Jan_Mar.xlsx,1572864,2024-01-05T09:00:00Z,2024-03-23T14:15:30Z,Charlie Brown,Bob Johnson,https://contoso.sharepoint.com/sites/ProjectAlpha/Shared%20Documents/Sales_Data_Jan_Mar.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,false,/drive/root:/Shared Documents,site-12345,drive-67890,Documents,2024-03-25T08:00:00Z
08QRSTUV890123456,Team_Photo.jpg,2621440,2024-02-20T16:00:00Z,2024-02-20T16:00:00Z,John Smith,John Smith,https://contoso.sharepoint.com/sites/ProjectAlpha/Shared%20Documents/Team_Photo.jpg,image/jpeg,false,/drive/root:/Shared Documents,site-12345,drive-67890,Documents,2024-03-25T08:00:00Z
09WXYZAB901234567,Product_Demo_Video.mp4,52428800,2024-01-25T13:30:00Z,2024-01-25T13:30:00Z,Alice Williams,Alice Williams,https://contoso.sharepoint.com/sites/ProjectAlpha/Shared%20Documents/Product_Demo_Video.mp4,video/mp4,false,/drive/root:/Shared Documents,site-12345,drive-67890,Documents,2024-03-25T08:00:00Z
10CDEFGH012345678,Project_Charter_v2.docx,655360,2024-01-08T10:15:00Z,2024-03-10T09:20:15Z,Jane Doe,Charlie Brown,https://contoso.sharepoint.com/sites/ProjectAlpha/Shared%20Documents/Project_Charter_v2.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,false,/drive/root:/Shared Documents,site-12345,drive-67890,Documents,2024-03-25T08:00:00Z
11IJKLMN123456789,Requirements_Document.docx,983040,2024-02-05T11:30:00Z,2024-03-19T16:45:00Z,Bob Johnson,Alice Williams,https://contoso.sharepoint.com/sites/ProjectAlpha/Shared%20Documents/Requirements_Document.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,false,/drive/root:/Shared Documents,site-12345,drive-67890,Documents,2024-03-25T08:00:00Z
12OPQRST234567890,Financial_Model.xlsx,2097152,2024-01-12T14:00:00Z,2024-03-21T10:30:45Z,Charlie Brown,Jane Doe,https://contoso.sharepoint.com/sites/ProjectAlpha/Shared%20Documents/Financial_Model.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,false,/drive/root:/Shared Documents,site-12345,drive-67890,Documents,2024-03-25T08:00:00Z
13UVWXYZ345678901,Architecture_Diagram.png,1310720,2024-02-10T09:45:00Z,2024-02-10T09:45:00Z,John Smith,John Smith,https://contoso.sharepoint.com/sites/ProjectAlpha/Shared%20Documents/Architecture_Diagram.png,image/png,false,/drive/root:/Shared Documents,site-12345,drive-67890,Documents,2024-03-25T08:00:00Z
14ABCDEF456789012,Competitor_Analysis.pptx,4194304,2024-01-30T15:20:00Z,2024-03-14T11:15:30Z,Alice Williams,Bob Johnson,https://contoso.sharepoint.com/sites/ProjectAlpha/Shared%20Documents/Competitor_Analysis.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,false,/drive/root:/Shared Documents,site-12345,drive-67890,Documents,2024-03-25T08:00:00Z
15GHIJKL567890123,Risk_Assessment_2024.docx,524288,2024-02-12T10:00:00Z,2024-03-16T14:20:00Z,Charlie Brown,Charlie Brown,https://contoso.sharepoint.com/sites/ProjectAlpha/Shared%20Documents/Risk_Assessment_2024.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,false,/drive/root:/Shared Documents,site-12345,drive-67890,Documents,2024-03-25T08:00:00Z
16MNOPQR678901234,Customer_Feedback_Summary.xlsx,786432,2024-03-01T09:30:00Z,2024-03-22T15:45:30Z,Jane Doe,John Smith,https://contoso.sharepoint.com/sites/ProjectAlpha/Shared%20Documents/Customer_Feedback_Summary.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,false,/drive/root:/Shared Documents,site-12345,drive-67890,Documents,2024-03-25T08:00:00Z
17STUVWX789012345,Training_Materials.pdf,5242880,2024-01-18T13:15:00Z,2024-02-25T10:00:00Z,Bob Johnson,Alice Williams,https://contoso.sharepoint.com/sites/ProjectAlpha/Shared%20Documents/Training_Materials.pdf,application/pdf,false,/drive/root:/Shared Documents,site-12345,drive-67890,Documents,2024-03-25T08:00:00Z
18YZABCD890123456,Design_Mockups_v3.pptx,6291456,2024-02-08T16:30:00Z,2024-03-17T09:15:45Z,Alice Williams,Jane Doe,https://contoso.sharepoint.com/sites/ProjectAlpha/Shared%20Documents/Design_Mockups_v3.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,false,/drive/root:/Shared Documents,site-12345,drive-67890,Documents,2024-03-25T08:00:00Z
19EFGHIJ901234567,Legal_Contract_Template.docx,393216,2023-12-20T11:00:00Z,2024-01-15T14:30:00Z,Charlie Brown,Bob Johnson,https://contoso.sharepoint.com/sites/ProjectAlpha/Shared%20Documents/Legal_Contract_Template.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,false,/drive/root:/Shared Documents,site-12345,drive-67890,Documents,2024-03-25T08:00:00Z
20KLMNOP012345678,Project_Timeline.xlsx,655360,2024-01-22T10:45:00Z,2024-03-20T16:30:15Z,John Smith,Charlie Brown,https://contoso.sharepoint.com/sites/ProjectAlpha/Shared%20Documents/Project_Timeline.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,false,/drive/root:/Shared Documents,site-12345,drive-67890,Documents,2024-03-25T08:00:00Z
21QRSTUV123456789,Status_Report_March.docx,327680,2024-03-05T09:00:00Z,2024-03-24T11:45:00Z,Jane Doe,Alice Williams,https://contoso.sharepoint.com/sites/ProjectAlpha/Shared%20Documents/Status_Report_March.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,false,/drive/root:/Shared Documents,site-12345,drive-67890,Documents,2024-03-25T08:00:00Z
22WXYZAB234567890,User_Research_Findings.pdf,1835008,2024-02-18T14:20:00Z,2024-03-12T10:15:30Z,Bob Johnson,Jane Doe,https://contoso.sharepoint.com/sites/ProjectAlpha/Shared%20Documents/User_Research_Findings.pdf,application/pdf,false,/drive/root:/Shared Documents,site-12345,drive-67890,Documents,2024-03-25T08:00:00Z
23CDEFGH345678901,Brand_Guidelines_2024.pdf,3670016,2024-01-28T15:30:00Z,2024-02-20T09:45:00Z,Alice Williams,Charlie Brown,https://contoso.sharepoint.com/sites/ProjectAlpha/Shared%20Documents/Brand_Guidelines_2024.pdf,application/pdf,false,/drive/root:/Shared Documents,site-12345,drive-67890,Documents,2024-03-25T08:00:00Z
24IJKLMN456789012,Data_Privacy_Policy.docx,458752,2023-11-15T10:00:00Z,2024-03-01T15:20:00Z,Charlie Brown,John Smith,https://contoso.sharepoint.com/sites/ProjectAlpha/Shared%20Documents/Data_Privacy_Policy.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,false,/drive/root:/Shared Documents,site-12345,drive-67890,Documents,2024-03-25T08:00:00Z
25OPQRST567890123,Employee_Handbook.pdf,8388608,2024-01-03T08:30:00Z,2024-01-03T08:30:00Z,John Smith,John Smith,https://contoso.sharepoint.com/sites/ProjectAlpha/Shared%20Documents/Employee_Handbook.pdf,application/pdf,false,/drive/root:/Shared Documents,site-12345,drive-67890,Documents,2024-03-25T08:00:00Z
26UVWXYZ678901234,Q1_Performance_Metrics.xlsx,1179648,2024-03-10T11:15:00Z,2024-03-23T13:30:45Z,Jane Doe,Bob Johnson,https://contoso.sharepoint.com/sites/ProjectAlpha/Shared%20Documents/Q1_Performance_Metrics.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,false,/drive/root:/Shared Documents,site-12345,drive-67890,Documents,2024-03-25T08:00:00Z
27ABCDEF789012345,Security_Audit_Report.docx,917504,2024-02-22T13:45:00Z,2024-03-11T10:20:15Z,Bob Johnson,Alice Williams,https://contoso.sharepoint.com/sites/ProjectAlpha/Shared%20Documents/Security_Audit_Report.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,false,/drive/root:/Shared Documents,site-12345,drive-67890,Documents,2024-03-25T08:00:00Z
28GHIJKL890123456,Product_Roadmap_2024.pptx,5505024,2024-01-16T09:30:00Z,2024-03-13T14:15:30Z,Alice Williams,Charlie Brown,https://contoso.sharepoint.com/sites/ProjectAlpha/Shared%20Documents/Product_Roadmap_2024.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,false,/drive/root:/Shared Documents,site-12345,drive-67890,Documents,2024-03-25T08:00:00Z
29MNOPQR901234567,Vendor_Evaluation_Matrix.xlsx,851968,2024-02-28T10:20:00Z,2024-03-19T11:45:00Z,Charlie Brown,Jane Doe,https://contoso.sharepoint.com/sites/ProjectAlpha/Shared%20Documents/Vendor_Evaluation_Matrix.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,false,/drive/root:/Shared Documents,site-12345,drive-67890,Documents,2024-03-25T08:00:00Z
